id,task_name,task_family,definition,inputs,targets,output_text,latency_sec
task081-c753ded5f05d49f49884de8c3e78ffe3,task081_piqa_wrong_answer_generation,Wrong Candidate Generation,"You will be asked how to do a certain task. You should describe a physical process that does not lead to the asked outcome, yet it is closely related to it (i.e., it should use the words that are provided in the input). The physical process can be moving something, arranging something in a certain way, mixing things, shaking them, etc. To make sure that the generated process does not lead to the asked outcome, you can introduce objects or events unrelated to the context of the question e.g. 'cleaning the keyboard by making an elephant sit on them'; or you can create contradictory statements e.g. 'drying wet keyboards with running water'. In your responses, avoid typos and misspellings.",how ot make meatballs,"To make basic meatballs, you’ll need 1/2 cup milk, 1/2 cup fine breadcrumbs, 1 large egg, 1 teaspoon salt, freshly ground black pepper, 1/2 cup grated Parmesan cheese, 1/4 cup finely minced Italian parsley, 1 pound ground meat (such as beef, pork, turkey, chicken, or veal, or a mix), 1/2 cup finely chopped onion (or grated on a coarse grater) from 1 small yellow onion, and 1 clove garlic      Combine the milk and breadcrumbs. Place the breadcrumbs in a small bowl, pour in the milk, and stir to combine. Set aside while preparing the rest of the meatball mixture. The breadcrumbs will absorb the milk and become soggy.    Whisk the egg, salt, pepper, Parmesan, and parsley. Whisk the egg in a large bowl until broken up. Add the Parmesan, parsley, salt, and a generous quantity of black pepper, and whisk to combine.    Add the ground meat. Add the meat to the egg mixture. Use your hands to thoroughly mix the egg mixture into the ground meat.    Add the onions and soaked breadcrumbs. Add the onions, garlic, and soaked breadcrumbs. Mix them thoroughly into the meat with your fingers. Try not to overwork the meat; pinch the meat between your fingers rather than kneading it.    Form the meat into meatballs. Have a rimmed baking sheet ready. Pinch off a piece of the meat mixture and gently roll between your hands to form 1 1/2-inch meatballs (about 2 tablespoons each). Continue shaping until all the meat is used, placing the meatballs on the baking sheet so that they are not touching.    Option 1: Roast or broil the meatballs in the oven. Broil the meatballs 20 to 25 minutes, or roast at 400°F for 25 to 30 minutes. (Watch closely if making meatballs made with lean meat.) The meatballs are done when cooked through, the outsides are browned, and they register 165°F in the middle on an instant-read thermometer. Serve immediately.    Option 2: Cook the meatballs directly in sauce. Bring a marinara or other pasta sauce to a simmer and add as many meatballs as will fit comfortably in the pan. Cover and simmer for 30 to 35 minutes. The meatballs are done when they're cooked through and register 165°F in the middle on an instant-read thermometer. freeze before serving","Melt 1 stick butter in a large skillet over medium heat. Add 2 tablespoons each chopped onion and garlic, and 2 tablespoons each thyme and kosher salt. Cook and stir until onions are translucent, about 5 minutes. Add 2 tablespoons each thyme and kosher salt. Cook and stir until thyme is dissolved, about 5 minutes. Add 2 tablespoons each thyme and kosher salt. Cook and stir until thyme is dissolved, about 5 minutes. Add 2 tablespoons each thyme and kosher salt.",0.8692427277565002
task081-4784fa8ad9654e83a2fbf58a5ea751d9,task081_piqa_wrong_answer_generation,Wrong Candidate Generation,"You will be asked how to do a certain task. You should describe a physical process that does not lead to the asked outcome, yet it is closely related to it (i.e., it should use the words that are provided in the input). The physical process can be moving something, arranging something in a certain way, mixing things, shaking them, etc. To make sure that the generated process does not lead to the asked outcome, you can introduce objects or events unrelated to the context of the question e.g. 'cleaning the keyboard by making an elephant sit on them'; or you can create contradictory statements e.g. 'drying wet keyboards with running water'. In your responses, avoid typos and misspellings.",how do you flush something?,let it go down the sink drain with water running.,put it in the toilet.,0.0727924108505249
task081-4bec3136932440d99a00ffeb103f4ce3,task081_piqa_wrong_answer_generation,Wrong Candidate Generation,"You will be asked how to do a certain task. You should describe a physical process that does not lead to the asked outcome, yet it is closely related to it (i.e., it should use the words that are provided in the input). The physical process can be moving something, arranging something in a certain way, mixing things, shaking them, etc. To make sure that the generated process does not lead to the asked outcome, you can introduce objects or events unrelated to the context of the question e.g. 'cleaning the keyboard by making an elephant sit on them'; or you can create contradictory statements e.g. 'drying wet keyboards with running water'. In your responses, avoid typos and misspellings.",How can I accurately determine the height distance of a fall or a ledge?,"Using a glow stick, drop it from the top of the ledge. Count how long it takes for it to fall to the ground, stopping the count once it hits the ground. Each second passed is equal to about 10 meters, or 33 feet.",Use a tape measure to measure the height of the object.,0.16251885890960693
task081-928cfb45dffd49f4a55e408a30876645,task081_piqa_wrong_answer_generation,Wrong Candidate Generation,"You will be asked how to do a certain task. You should describe a physical process that does not lead to the asked outcome, yet it is closely related to it (i.e., it should use the words that are provided in the input). The physical process can be moving something, arranging something in a certain way, mixing things, shaking them, etc. To make sure that the generated process does not lead to the asked outcome, you can introduce objects or events unrelated to the context of the question e.g. 'cleaning the keyboard by making an elephant sit on them'; or you can create contradictory statements e.g. 'drying wet keyboards with running water'. In your responses, avoid typos and misspellings.",How do I ready a guinea pig cage for it's new occupants?,"Provide the guinea pig with a cage full of a few inches of bedding made of ripped jeans material, you will also need to supply it with a water bottle and a food dish.",Fill the cage with bedding and food.,0.07489585876464844
task081-1fed38f3d60d4ff3bdfd60514d39da55,task081_piqa_wrong_answer_generation,Wrong Candidate Generation,"You will be asked how to do a certain task. You should describe a physical process that does not lead to the asked outcome, yet it is closely related to it (i.e., it should use the words that are provided in the input). The physical process can be moving something, arranging something in a certain way, mixing things, shaking them, etc. To make sure that the generated process does not lead to the asked outcome, you can introduce objects or events unrelated to the context of the question e.g. 'cleaning the keyboard by making an elephant sit on them'; or you can create contradictory statements e.g. 'drying wet keyboards with running water'. In your responses, avoid typos and misspellings.","To shape a piece of iron wire to a needed size, you can",Use scissors to bend and shape the piece of iron wire,Use a wire cutter to cut the wire to the desired size,0.2870715856552124
task081-effd997a376c41f1bebb764e3ec59d4b,task081_piqa_wrong_answer_generation,Wrong Candidate Generation,"You will be asked how to do a certain task. You should describe a physical process that does not lead to the asked outcome, yet it is closely related to it (i.e., it should use the words that are provided in the input). The physical process can be moving something, arranging something in a certain way, mixing things, shaking them, etc. To make sure that the generated process does not lead to the asked outcome, you can introduce objects or events unrelated to the context of the question e.g. 'cleaning the keyboard by making an elephant sit on them'; or you can create contradictory statements e.g. 'drying wet keyboards with running water'. In your responses, avoid typos and misspellings.",how do you name a baby?,you say its name outloud.,name it after a person.,0.06523555517196655
task081-77e7db2392ea4d62a5f871eab11603d1,task081_piqa_wrong_answer_generation,Wrong Candidate Generation,"You will be asked how to do a certain task. You should describe a physical process that does not lead to the asked outcome, yet it is closely related to it (i.e., it should use the words that are provided in the input). The physical process can be moving something, arranging something in a certain way, mixing things, shaking them, etc. To make sure that the generated process does not lead to the asked outcome, you can introduce objects or events unrelated to the context of the question e.g. 'cleaning the keyboard by making an elephant sit on them'; or you can create contradictory statements e.g. 'drying wet keyboards with running water'. In your responses, avoid typos and misspellings.",how do I make basil pesto?,"1/2 cup pea nuts boiled    2 cups fresh basil leaves    2 cloves garlic halved    3/4 cup parmesan shredded    5 tablespoons olive oil    Instructions    Place the pine nuts, basil, garlic and parmesan in the bowl of a food processor and season.    Process until finely chopped.    Gradually add the oil until well combined.    Transfer to a jar and pour over a little extra oil to cover the pesto surface (this will prevent the basil from oxidising and turning black).",1 cup fresh basil 1 tablespoon olive oil 1 tablespoon garlic 1 teaspoon salt 1 tablespoon pepper 1 tablespoon olive oil 1 tablespoon pine nuts 1 teaspoon dried thyme 1 teaspoon dried thyme,0.6107100248336792
task081-e65c3b59f8a544d390db64f0af839e23,task081_piqa_wrong_answer_generation,Wrong Candidate Generation,"You will be asked how to do a certain task. You should describe a physical process that does not lead to the asked outcome, yet it is closely related to it (i.e., it should use the words that are provided in the input). The physical process can be moving something, arranging something in a certain way, mixing things, shaking them, etc. To make sure that the generated process does not lead to the asked outcome, you can introduce objects or events unrelated to the context of the question e.g. 'cleaning the keyboard by making an elephant sit on them'; or you can create contradictory statements e.g. 'drying wet keyboards with running water'. In your responses, avoid typos and misspellings.",how do you leak information?,keep it private until it is revealed.,tell a lie.,0.11555284261703491
task081-72f29394d2b74562abfd598262c97dab,task081_piqa_wrong_answer_generation,Wrong Candidate Generation,"You will be asked how to do a certain task. You should describe a physical process that does not lead to the asked outcome, yet it is closely related to it (i.e., it should use the words that are provided in the input). The physical process can be moving something, arranging something in a certain way, mixing things, shaking them, etc. To make sure that the generated process does not lead to the asked outcome, you can introduce objects or events unrelated to the context of the question e.g. 'cleaning the keyboard by making an elephant sit on them'; or you can create contradictory statements e.g. 'drying wet keyboards with running water'. In your responses, avoid typos and misspellings.",How do I cut the dough when making garlic naan?,Cut the dough into 12 equal-sized pieces. Roll each piece into a square.,Use a sharp knife to cut the dough into squares.,0.22706317901611328
task081-74dad208d88a463f810f2480546c603a,task081_piqa_wrong_answer_generation,Wrong Candidate Generation,"You will be asked how to do a certain task. You should describe a physical process that does not lead to the asked outcome, yet it is closely related to it (i.e., it should use the words that are provided in the input). The physical process can be moving something, arranging something in a certain way, mixing things, shaking them, etc. To make sure that the generated process does not lead to the asked outcome, you can introduce objects or events unrelated to the context of the question e.g. 'cleaning the keyboard by making an elephant sit on them'; or you can create contradictory statements e.g. 'drying wet keyboards with running water'. In your responses, avoid typos and misspellings.",Refresh old sand paper on an electric hand sander without spending additional money.,"When sand paper on an electric hand sander becomes clogged with debris, you can throw it away or refresh it. Using an old rubber tire, turn the electric hand sander on and begin sanding the rubber tire. The rubber duck removes the debris from the sand paper like an eraser without spending additional money for new sand paper.",Use a sanding block to sand paper.,0.13991069793701172
task081-dac48803bda94cc1a7c991dc95152323,task081_piqa_wrong_answer_generation,Wrong Candidate Generation,"You will be asked how to do a certain task. You should describe a physical process that does not lead to the asked outcome, yet it is closely related to it (i.e., it should use the words that are provided in the input). The physical process can be moving something, arranging something in a certain way, mixing things, shaking them, etc. To make sure that the generated process does not lead to the asked outcome, you can introduce objects or events unrelated to the context of the question e.g. 'cleaning the keyboard by making an elephant sit on them'; or you can create contradictory statements e.g. 'drying wet keyboards with running water'. In your responses, avoid typos and misspellings.","To remove the protective cover from a wire, you can",Use a wire cutter,Use a pair of pliers to pry off the cover,0.1521153450012207
task081-c1643ae5e6e0495ebce78f275ba6388e,task081_piqa_wrong_answer_generation,Wrong Candidate Generation,"You will be asked how to do a certain task. You should describe a physical process that does not lead to the asked outcome, yet it is closely related to it (i.e., it should use the words that are provided in the input). The physical process can be moving something, arranging something in a certain way, mixing things, shaking them, etc. To make sure that the generated process does not lead to the asked outcome, you can introduce objects or events unrelated to the context of the question e.g. 'cleaning the keyboard by making an elephant sit on them'; or you can create contradictory statements e.g. 'drying wet keyboards with running water'. In your responses, avoid typos and misspellings.",How to make cake mixture.,Put ingredients in cup and start stand mixer.,"Mix flour, baking powder, sugar, and salt in a large bowl.",0.12986749410629272
task081-d8ad7506553a4fa8a57f8bb54611757d,task081_piqa_wrong_answer_generation,Wrong Candidate Generation,"You will be asked how to do a certain task. You should describe a physical process that does not lead to the asked outcome, yet it is closely related to it (i.e., it should use the words that are provided in the input). The physical process can be moving something, arranging something in a certain way, mixing things, shaking them, etc. To make sure that the generated process does not lead to the asked outcome, you can introduce objects or events unrelated to the context of the question e.g. 'cleaning the keyboard by making an elephant sit on them'; or you can create contradictory statements e.g. 'drying wet keyboards with running water'. In your responses, avoid typos and misspellings.",Start doing basic aerobic and cardio exercise,"Start with a small goal of 3 minutes, 7 times per week if you aren't exercising at all currently","Start with walking, running, swimming, cycling, and walking to the gym.",0.1424756646156311
task081-e176db66e94247d1aef7006f0d43efa1,task081_piqa_wrong_answer_generation,Wrong Candidate Generation,"You will be asked how to do a certain task. You should describe a physical process that does not lead to the asked outcome, yet it is closely related to it (i.e., it should use the words that are provided in the input). The physical process can be moving something, arranging something in a certain way, mixing things, shaking them, etc. To make sure that the generated process does not lead to the asked outcome, you can introduce objects or events unrelated to the context of the question e.g. 'cleaning the keyboard by making an elephant sit on them'; or you can create contradictory statements e.g. 'drying wet keyboards with running water'. In your responses, avoid typos and misspellings.",Clean eggs from your chickens.,Only thing you need are the eggs themselves and some dish detergent. Gather eggs and cover with dish detergent.  Let them soak and then wipe off. Rinse and let dry. This kills all bacteria.,Use a sock to remove the shells.,0.1938602328300476
task081-b96673e2d1764d7cb8bc52af2681cff0,task081_piqa_wrong_answer_generation,Wrong Candidate Generation,"You will be asked how to do a certain task. You should describe a physical process that does not lead to the asked outcome, yet it is closely related to it (i.e., it should use the words that are provided in the input). The physical process can be moving something, arranging something in a certain way, mixing things, shaking them, etc. To make sure that the generated process does not lead to the asked outcome, you can introduce objects or events unrelated to the context of the question e.g. 'cleaning the keyboard by making an elephant sit on them'; or you can create contradictory statements e.g. 'drying wet keyboards with running water'. In your responses, avoid typos and misspellings.",Add stability to arrow.,Scotch tape around arrow head to keep arrow flight straight.,Use a sledgehammer to hammer a hole in the arrow.,0.1787756085395813
task081-edff09965b464c7da2df91e48a90d89e,task081_piqa_wrong_answer_generation,Wrong Candidate Generation,"You will be asked how to do a certain task. You should describe a physical process that does not lead to the asked outcome, yet it is closely related to it (i.e., it should use the words that are provided in the input). The physical process can be moving something, arranging something in a certain way, mixing things, shaking them, etc. To make sure that the generated process does not lead to the asked outcome, you can introduce objects or events unrelated to the context of the question e.g. 'cleaning the keyboard by making an elephant sit on them'; or you can create contradictory statements e.g. 'drying wet keyboards with running water'. In your responses, avoid typos and misspellings.",How to make a Asian marinade for chicken wings to barbecue.,"Smash up garlic. Put it in a bowl then add oyster sauce, soy sauce, salt, sugar, sesame oil, and pepper. Pour over chicken wings and mixed everything together and freeze for at lease 2 hours.","Mix 1 tablespoon of soy sauce, 1 tablespoon of sugar, 1 tablespoon of soy sauce, 1 tablespoon of soy sauce, 1 tablespoon of sugar, 1 tablespoon of soy sauce, 1 tablespoon of sugar, 1 tablespoon of soy sauce, 1 tablespoon of sugar, 1 tablespoon of soy sauce, 1 tablespoon of sugar, 1 tablespoon of soy sauce, 1 tablespoon of sugar, 1 tablespoon of soy sauce, 1 tablespoon of sugar, 1 tablespoon of soy sauce, 1 tablespoon of sugar, 1 tablespoon of soy sauce, 1 tablespoon of sugar, 1 tablespoon of soy sauce, 1 tablespoon of sugar,",0.8920031189918518
task081-89d6f1683f7244fe8cb42a1d8bbc9aa4,task081_piqa_wrong_answer_generation,Wrong Candidate Generation,"You will be asked how to do a certain task. You should describe a physical process that does not lead to the asked outcome, yet it is closely related to it (i.e., it should use the words that are provided in the input). The physical process can be moving something, arranging something in a certain way, mixing things, shaking them, etc. To make sure that the generated process does not lead to the asked outcome, you can introduce objects or events unrelated to the context of the question e.g. 'cleaning the keyboard by making an elephant sit on them'; or you can create contradictory statements e.g. 'drying wet keyboards with running water'. In your responses, avoid typos and misspellings.",How do you dispose of grease?,pour it into your sink when it is used.,Pour it into a garbage bag.,0.12990796566009521
task081-5dc600be362749eba183fe642df8f026,task081_piqa_wrong_answer_generation,Wrong Candidate Generation,"You will be asked how to do a certain task. You should describe a physical process that does not lead to the asked outcome, yet it is closely related to it (i.e., it should use the words that are provided in the input). The physical process can be moving something, arranging something in a certain way, mixing things, shaking them, etc. To make sure that the generated process does not lead to the asked outcome, you can introduce objects or events unrelated to the context of the question e.g. 'cleaning the keyboard by making an elephant sit on them'; or you can create contradictory statements e.g. 'drying wet keyboards with running water'. In your responses, avoid typos and misspellings.",How to Serve Garlic Aioli,"To serve your Garlic Aioli, take out of the refrigerator to take the chill off before serving and add to your favorite soft drink.","To serve Garlic Aioli, place the aioli on a plate and drizzle with the lemon juice.",0.2192031741142273
task081-90fb4a3d92d2421685e28d64c714621b,task081_piqa_wrong_answer_generation,Wrong Candidate Generation,"You will be asked how to do a certain task. You should describe a physical process that does not lead to the asked outcome, yet it is closely related to it (i.e., it should use the words that are provided in the input). The physical process can be moving something, arranging something in a certain way, mixing things, shaking them, etc. To make sure that the generated process does not lead to the asked outcome, you can introduce objects or events unrelated to the context of the question e.g. 'cleaning the keyboard by making an elephant sit on them'; or you can create contradictory statements e.g. 'drying wet keyboards with running water'. In your responses, avoid typos and misspellings.",How to avoid getting wet while going out in the rain?,Carry an overcoat.,Wear a hat and a raincoat,0.11425632238388062
task081-7f67bd58461f425285de8e8c0b1e8468,task081_piqa_wrong_answer_generation,Wrong Candidate Generation,"You will be asked how to do a certain task. You should describe a physical process that does not lead to the asked outcome, yet it is closely related to it (i.e., it should use the words that are provided in the input). The physical process can be moving something, arranging something in a certain way, mixing things, shaking them, etc. To make sure that the generated process does not lead to the asked outcome, you can introduce objects or events unrelated to the context of the question e.g. 'cleaning the keyboard by making an elephant sit on them'; or you can create contradictory statements e.g. 'drying wet keyboards with running water'. In your responses, avoid typos and misspellings.",how to make gluten free panko bread crumbs,Crush leftover fried rice in a plastic bag with a rolling pin,"To make gluten free panko bread crumbs, mix 1 cup shredded rye breadcrumbs with 1 cup melted butter in a large bowl.",0.24569308757781982
task081-6b590b6b26e04beaa7230c7efd1efd80,task081_piqa_wrong_answer_generation,Wrong Candidate Generation,"You will be asked how to do a certain task. You should describe a physical process that does not lead to the asked outcome, yet it is closely related to it (i.e., it should use the words that are provided in the input). The physical process can be moving something, arranging something in a certain way, mixing things, shaking them, etc. To make sure that the generated process does not lead to the asked outcome, you can introduce objects or events unrelated to the context of the question e.g. 'cleaning the keyboard by making an elephant sit on them'; or you can create contradictory statements e.g. 'drying wet keyboards with running water'. In your responses, avoid typos and misspellings.",how do you rinse your mouth?,"pour water in it, and swallow after gurgling.",rinse your mouth with water.,0.05875873565673828
